author-link,author-link-href,title-link,title-link-href,text,pagination,pagination-href
"","","Quaestio De Centauris","http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris","In the exceptional cases in which fertilization is successful in these rare unions, a dualistic female offspring is produced, her two natures, however, inversely assembled. The creatures have the head, neck, and front feet of a horse, but their back and belly are those of a human female, and the hind legs are human.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","The girl tuned up the fire, they ate, and were back on their way south when suddenly they heard the awful gasping voice of Mackinnon behind them. They could hear him blundering toward them, cracking twigs, calling out to them, Wait, my children, wait a moment, do not abandon me!","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“You’ll need to come out of your room at some point,” the vicar suggested.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“I don’t know much about those Taoist things,” I said.","",""
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","(E) “Against Twin Lawyers”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","The school kept Carl away from the children. He understood. Children’s fears should be managed. Sometimes their eyes need to be covered. So much is better left unseen. There would be more and greater to fear when they were older. Best to save room. But Carl found a way to tend the landscape in the mornings, at a squinting distance from the school doors. From afar, he was a faceless man in a jumpsuit, leaning into his shovel, Carl the Small, the frantic waver. Every day, the kids, fired like missiles from the yellow school buses, waved at Carl, and he saluted them all, righty-o. Hello there, you guys! People should always greet one another that way. If he could store a message for creatures thousands of years in the future, it would be simple. Upon meeting one another in whatever passes, in your world, for a room, a hallway, a road, a field, do not play dead while you are still alive. Just try to say hello.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","It had rained earlier in the afternoon, a light drizzle, and the three steps that led to the front door were slippery. Above the door, just below the box that housed the burglar alarm, was a domed copper bell. The rope pull was missing, but the metal tongue remained, and she was still startled occasionally, in strong winds, by a shrill, high note. Letting herself into the hall, she thought she detected the smell of something cooking, something other than potatoes and peas. Bill came out of the kitchen to greet her. “Guess what,” he said. “I’ve got an interview.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Because it concerns you. It’s about your mother. Will you keep a secret?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“I don’t know,” I said. “His father was an official in some district, I think, but he was wrongly deposed by an evil adviser to the king. When his father died, Robin Hood had to hide in the forest with a band of outlaws.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“We can find room for you here,” he said.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","All day she cared for him, hauling wood, boiling broth, keeping him warm. That night the dog growled ferociously at the door, and Wolfred opened one eye briefly to see infinitely duplicated images of the girl heating the blade of the axe red hot and gripping the handle with rags. He felt her slip out the door, and then there began a great babble of howling, cursing, shrieking, desperate groaning and thumping, as if trees were being felled. This went on all night. At first light, he sensed that she’d crept inside again. He felt the warmth and weight of her curled against his back, smelled the singed fur of the dog or maybe her hair. Hours into the day, she woke, and he heard her tuning a drum in the warmth of the fire. Surprised, he asked her, in Ojibwe, how she’d got the drum.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","He must have heard wrong, or misunderstood. Drums cannot fly. He was not dead. Or was he? The world behind his closed eyes was ever stranger. From the many-roomed black temple, he had stepped into a universe of fractured patterns. There was no relief from their implacable mathematics. Designs formed and re-formed. Hard-edged triangles joined and split in an endless geometry. If this was death, it was visually exhausting. Only when she started drumming did the patterns gradually lose their intensity. Their movement diminished as she sang in an off-key, high-pitched, nasal whine that rose and fell in calming repetition. The drum corrected some interior rhythm, a delicious relaxation painted his thoughts, and he slept.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","Instead she said, “I would like to draw you in plein air.”","",""
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","He puffed anxiously on his cigarette, perhaps already somewhat drunk, and he was silent for so long that it was no longer necessary to answer me, but then an answer came. “The National Institute is rotten, but the world is rotten,” he said. “They prepared you for this, for a world where everyone fucks everyone over. You’ll do well on the test, very well, don’t worry: you all weren’t educated; you were trained.” It sounded aggressive, but there was no contempt in his tone, or, at least, none directed at us.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","They should have made her happy, but they didn’t. They were indistinguishable from the ducks that had died the day before. If she hadn’t cut through the park yesterday morning, if she hadn’t taken lunch here today, she might even have thought, next time she visited, that they were the same ducks. There was trickery of a sort at work, a sleight of hand that suggested that the first ducks had never existed, and only she alone, in silent witness, knew better. She put the remainder of her sandwich in the bin and, leaving the park, made her way back to her office. Later, at her computer, she typed “Stephen’s Green ducks dead” into a search engine, but her inquiry yielded nothing of relevance.","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“It was a wooden bow, Big Uncle. They called them longbows, and they could shoot arrows that could pierce armor.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Let me try.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","“Sort of,” he said. “She’s got hair like her, and eyes like her, but she’s not as tall. And her skin is more tanned.”","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“I bet his real name is Burt,” Clara said angrily. We had never been stood up before. “I bet he’s actually from Tennessee.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","You’re descended from a long line of minor wizards. Your people have, for generations, been able to summon rain, exorcise poltergeists, find lost wedding rings.","",""
"","","The Duniazát","http://www.newyorker.com/magazine/2015/06/01/the-duniazat","In the year 1195, the great philosopher Ibn Rushd, once the qadi, or judge, of Seville and most recently the personal physician to the Caliph Abu Yusuf Yaqub in his home town of Córdoba, was formally discredited and disgraced on account of his liberal ideas, which were unacceptable to the increasingly powerful Berber fanatics who were spreading like a pestilence across Arab Spain, and was sent to live in internal exile in the small village of Lucena, a village full of Jews who could no longer say they were Jews because they had been forced to convert to Islam. Ibn Rushd, a philosopher who was no longer permitted to expound his philosophy, all of whose writing had been banned and burned, felt instantly at home among the Jews who could not say they were Jews. He had been a favorite of the Caliph of the present ruling dynasty, the Almohads, but favorites go out of fashion, and Abu Yusuf Yaqub had allowed the fanatics to push the great commentator on Aristotle out of town.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Lee had come back and was stroking my hair onto the pillow. “Want to take a little nap?” he asked.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“Essentials only,” Marlon said, referring to Liz’s packing. “This is not the fucking QE2. This is not fucking cocktail hour with good old Dick up in Saint-Moritz. Essentials.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","“Where?”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","From the bathroom came a single plink of falling water; in hindsight, Andreas found it noteworthy that the officer had shown no interest in the bathroom. The man simply paged through a shabby black notebook, found a number, and dialled it on the living-room extension.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Duniazát","http://www.newyorker.com/magazine/2015/06/01/the-duniazat","Dunia began to speak of herself as Scheherazade’s sister, always asking for stories, only her Scheherazade was a man—her lover, not her brother—and some of his stories could get them both killed if the words were accidentally to escape from the darkness of their bedroom. So Ibn Rushd was a sort of anti-Scheherazade, Dunia told him, the exact opposite of the storyteller of the “Thousand Nights and One Night”: her stories saved her life, while his put his life in danger. But then the Caliph Abu Yusuf Yaqub was triumphant in war, winning his greatest military victory, against the Christian King of Castile, Alfonso VIII, at Alarcos on the Guadiana River. After the Battle of Alarcos, in which the Caliph’s forces killed a hundred and fifty thousand Castilian soldiers, fully half the Christian army, Abu Yusuf Yaqub gave himself the name al-Mansur, the Victorious, and with the confidence of a conquering hero he brought the ascendancy of the fanatical Berbers to an end and summoned Ibn Rushd back to court.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","They spent that night, as they had when they were children, talking and laughing while they competed with their farts and their burps, and from then on they were once again inseparable. They kept up the illusion of independence, especially from Monday to Friday, but on weekends they always went out together, matched each other drink for drink, and played tricks switching places, taking advantage of the fact that, thanks to Luis’s newly long hair and now clear skin, their physical resemblance was almost absolute again.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Clara, wake up. That’s not—”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Now that the ice is melting, the bodies are coming to the surface.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","Those, in fact, were not the criteria. None of them. They blood-tested Creative and looked for subjects with gross nutritional deficits. In other words, people who ate like shit and had the blood numbers of a gremlin. The first goal was to see if the grow light could move the needle, boost a dude’s Vitamin A or whatnot. Actually satiate. And not, you know, hasten to expire. And then luminous efficacy would be stretched. Light-form carbohydrate spectrum, rays of protein. Yup. Radical color temps and other PAR value mods to the spectrum. The talk got geeky. If all went well, they’d pilot a dark strobe, something like a noise gate that regulated the feed? Just pulse darkness so as not to turn the poor subject into some kind of demon, twitching under a heat lamp.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","“It’s more hands on,” he said. “Cataloguing exhibits, working on the archives, that sort of thing.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“But now you see what I mean. I cause harm.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“There are no flights allowed,” Michael said, trying to feel capable, filling them in. “No one can charter. Not even the very important people.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","The stairwell was dark. Someone on the ground floor was playing music very loudly. The sound faded as she climbed the stairs. By the second floor, she could no longer recognize the song.","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","We sprinted for it. Golden sunlight painted the steel cables. We raced across the platform, jumping for the chairs, and I will never know how fast or how far we flew to get back to Earth. In all our years of prospecting in the West, this was our greatest heist. Clara opened her satchel and lifted the yellow bird onto her lap, and I heard it shrieking the whole way down the mountain. ♦","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","The humans eventually won the fight, but the noise continued into darkness.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“I do.”","",""
"","","Silk Brocade","http://www.newyorker.com/magazine/2015/07/27/silk-brocade","Nola met Kit when she dropped in to look at Ann’s designs. She was still wearing her nurse’s uniform; she wanted to keep on working until she married. Kit went all out to win her over, and Nola sat blinking and smiling—her plain black shoes planted together on the floor, her back straight—under the assault of Kit’s mad exuberance, her flattery. Kit really was good fun; when you were with her something new and outrageous could happen at any moment. Going through the drawings, Nola was full of trepidation. The models in Ann’s designs were haughty and impossibly slender, drifting with their noses tipped up disdainfully. This was how she’d learned to draw them at art college; it was only a kind of shorthand, an aspiration. If you knew how to read the designs, they gave all the essential information about seams and darts.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“Death’s got the bit in her teeth these days, I’d say.”","",""
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","“Sorry?” she said, before realizing that he was talking about something in the book. He was off then, feeding her random pieces as he read, while she ate a slice of toast and drank her coffee. Above the table, a lead-crystal chandelier hung like a tree in winter, most of its pendants missing. She should take it down and be done with it, she thought. She should put it out in the shed with the rest of the rubbish and pick up something at IKEA. She’d imagined a life for the people who’d lived here before, had pieced it together from the things they’d left behind—the skeleton of a pony trap, its metal spine rusting at the back of the shed, the stone hot-water jars. But it occurred to her now that perhaps she’d gone about it wrong, that perhaps they were to be known not by what they left but by what they took, in which case she would never know them. Outside the window, Finn was throwing stones of varying size into the center of the net. “If you do decide to take him to school,” she said, “I found his school tie when I was tidying the playroom. It’s hanging in his wardrobe.”","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","My apology opened outward, a blossoming horror. I’d used her bruises to justify leaving Florida. I’d used her face to open doors. Greed had convinced me I could take care of her up here, and then I’d disappeared on her. How long had Clara known what I was doing? I’d barely known myself.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“I believe,” the girl said, “and it saddens me to say this, but I believe we’ve come to the end of our options here.”","",""
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","You shall go on one more journey with me, she said, smiling, and began to sing.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","The heavy front door of the building creaked open. The light in the hall came on. It spilled out into the courtyard, revealing a chair and the sharp contrasts of shadowed corners. The door slammed shut. She listened to footsteps in the stairwell. Her wineglass was empty, and she got up to fill it. In the warmth of the apartment, she felt a chill at her feet. She filled her glass and held the bottle up in front of her to check how much wine was left. Just over half.","",""
"Jensen Beach","http://www.newyorker.com/contributors/jensen-beach","","","","",""
"","","The Duniazát","http://www.newyorker.com/magazine/2015/06/01/the-duniazat","If Ibn Rushd had been a scholar of the occult arcana, he would have realized then that his children were the offspring of a non-human mother, but he was too wrapped up in himself to work it out. The philosopher who could not philosophize feared that his children would inherit from him the sad gifts that were his treasure and his curse. “To be thin-skinned, farsighted, and loose-tongued,” he said, “is to feel too sharply, see too clearly, speak too freely. It is to be vulnerable to the world when the world believes itself invulnerable, to understand its mutability when it thinks itself immutable, to sense what’s coming before others sense it, to know that the barbarian future is tearing down the gates of the present while others cling to the decadent, hollow past. If our children are fortunate, they will inherit only your ears, but, regrettably, as they are undeniably mine, they will probably think too much too soon and hear too much too early, including things that are not permitted to be thought or heard.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","She didn’t answer.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","Carl Hirsch didn’t do holiday parties. At least, not correctly. All the so-called people, wind streaming from their faces. Fleshy machines spewing pollution, fucking up the environment. If he squinted, the celebrating bodies of his co-workers very nearly blistered into molecules, shining with color. Too often the whole of it—people, places, and things—looked to scatter. Everyone on the verge of turning to soup. So what if there was no precedent for a full-scale human melt, bodies reduced to liquid pouring from a window? You could still worry about it. Sometimes you had to.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Thank you,” Mr. Finisterre whispered to me once, too sozzled to remember my name, “for keeping the secret that there is no secret.” The black Atlantic rippled emptily in his eyeglasses.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","If the girl pulls it off one more time, the King has announced, he’ll marry her, make her his queen.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","There was nothing. It held nothing.","",""
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","She felt like telling him that this had nothing to do with want; that what either of them might have wanted had stopped being relevant a long time ago. “Sorry,” she said, “I just . . . you know . . . When is the interview?”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Whose house is this?” Petra said, impressed with the amenities.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","Since when was he on first-name terms with the preacher woman? “Is that what she’s called?”","",""
"","","Love Is Blind and Deaf","http://www.newyorker.com/magazine/2015/06/08/love-is-blind-and-deaf","You’re ugly!","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“I’m old. I need my blood.”","",""
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","I. They were in standard use at that particular school in order to prepare students for the university entrance exams.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“The woodwork is beautiful.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“I have to warm up. I’ll run somewhere and then go to the station.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","“You knew?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","My Curls Have Blown All the Way to China","http://www.newyorker.com/magazine/2015/09/21/my-curls-have-blown-all-the-way-to-china","The street was filled with all sorts of women. Suddenly, I had an urge to know exactly what brassiere and undies each one had on underneath. There were some who walked down the street together in pairs and laughed out loud. And there were lots of blondes, mostly with bleached hair, and probably they wore micro-string bikini pants underneath. Black. I could easily dye my hair blond—who’s to stop me? Or buy underwear like that or see-through lacy lingerie, like Behira’s. So when Moshe asked me to go with him to the factory outing in Netanya, I should have just said yes and even bought sexy underwear for the trip and those stockings with lace trim and a miniskirt and dyed my hair blond. Moshe would have been completely crazy for me and wouldn’t have even thrown a glance in the direction of that woman. Instead, on that very same day, I went and let Lucien shear everything off. Such a fool. I slaughtered myself all by myself.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“So many people came to her funeral. You’d think she’d taken a bullet for a senator or something.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“You’re right, though. I should go home and be his girlfriend. Since I’m so sick. Thank you for your help, Mr. Counsellor.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Quaestio De Centauris","http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris","Although centaurs are limited to a strictly vegetarian diet by their predominantly equine constitution, it must be remembered that they have a torso and a head like a man’s, which obliges them to introduce through a small human mouth the considerable quantity of grass, straw, or grain necessary to sustain their large bodies. These foods, notably of limited nutritional value, also require long mastication, since human teeth are not well adapted to the grinding of forage.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Zero, I told her. On no occasion had we been the only living people.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Next to me, I heard Clara in my ear: “Are you crazy? We just got here, and you’re talking about leaving? Do you know how rude you sound?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","Ruth was almost happy, getting to the bottom of it, for she felt that she had. The corners of her poor veranda were dissolving into shadow. She didn’t see the child leave her. She didn’t even see herself leaving, having just, at last, gone. ♦","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Are you alone?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","But Clara, still holding my hand, pointed at the clock. It was 5 A.M.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","The girl lowered her head.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“You have got to be kidding me,” Marlon said.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","We shook our heads no, though we both did.","",""
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“I’m packing,” Elizabeth said, and down the line came the sound of something precious smashing on the floor. “I don’t even know what I’m packing, but I’m packing.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Somebody’s life has to be ruined,” he said, pursuing the logic of his hatred. “Why not his and mine? I’m already in a kind of prison. The food can’t be any worse in a real prison. I can read books at state expense. You can go to school and help your mother with her problem.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","“How long were you and Jim married?” the nun asked. She understood that there was some small resurrection in just speaking the man’s name.","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","She was chanting, one hand at her throbbing temple: “None of this, none of this, none of this is!”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
