author-link,author-link-href,title-link,title-link-href,text,pagination,pagination-href
"","","V Is For A Lot Of Things","http://www.newyorker.com/magazine/1943/06/05/v-is-for-a-lot-of-things","Mrs. Buell discharged her Sicilian gardener, who had been with her for ten years, when he told her that he was not a citizen. When his oldest son was drafted she thought he would do something about it. She started a garden herself. One day he dropped around to inspect it. He still wasn't a citizen, but he knew how to set her garden right.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Faith At Sea","http://www.newyorker.com/magazine/1943/05/15/faith-at-sea","An emergency operation performed at sea.","",""
"Gretchen Damrosch Finletter","http://www.newyorker.com/contributors/gretchen-damrosch-finletter","","","","",""
"John O'Hara","http://www.newyorker.com/contributors/john-ohara","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Consolation Prize","http://www.newyorker.com/magazine/1943/06/05/consolation-prize","In order to save gas author combines a number of errands; picking up a load of hens from the station; arranging to interview prospective cooks, etc. The cooks didn't show up but one of the hens laid an egg.","",""
"","","A Tale of Old Pennsylvania","http://www.newyorker.com/magazine/1943/05/29/a-tale-of-old-pennsylvania","Mrs. Blessure was a rich woman who was distressed by the war and the impending class struggle. She decided to retire to the country. She bought a house in a rural, backward area of Pennsylvania, where the people were ignorant & superstitious. Simon, her gardener, thought she was a witch. She gave him some little colored sponges to give to his small boy, which he did. That same night Simon's wife accidentally scalded herself & the child. She believed it was due to a spell cast by Mrs. Blessure. One day Mrs Blessure came to Simon's house to fetch him. Simon's wife murdered her, threw the body in a canal, where it was not discovered until a year later, and the death remained a mystery.","",""
"Frank Sullivan","http://www.newyorker.com/contributors/frank-sullivan","","","","",""
"Irwin Shaw","http://www.newyorker.com/contributors/irwin-shaw","","","","",""
"","","Days of Innocence-Surdi Audiunt","http://www.newyorker.com/magazine/1943/06/12/days-of-innocence-surdi-audiunt","Deaf and dumb pupils at F. Knapp's Institute in Baltimore.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Grandma what big eyes. . .","http://www.newyorker.com/magazine/1943/05/22/grandma-what-big-eyes","Mrs. Noble was in a restaurant waiting for ther daughter in-law, who was going to lunch with her. The waitress complimented Mrs. Noble on her youthful appearance. Gratified, Mrs. Noble said she was proud of having a son in the Navy, and a grandson six years old. She asked the waitress to be on the look-out for her daughter-in-law. The girl said she'd recognize her- she used to be a model To which Mrs. Noble replied that that was eight years ago When the daughter-in-law arrived, they chatted about what they were doing. She said she didn't have enough to do, and was thinking of going back to her job, if Mrs. Noble would let her little boy spend a few hours a day at her house. Mrs. Noble said no, she needed a rest after working with Red Cross four hours aday, and the maid had too much to do. She couldn't understand how the girl could have lost her sense of proportion to that extent.","",""
"","","Miss Stickney's New Hat","http://www.newyorker.com/magazine/1943/05/15/miss-stickneys-new-hat","Description of Dorothy Stickney's new hat. It was designed by Mme. Lilly Dache with the advice and consent of the Garden Club of America and it contains forty-three kinds of flowers and enough lover's-knots to baste up several brace of good husky lovers. It consumes a gill of dew each morning.","",""
"","","Casanova, Move Over","http://www.newyorker.com/magazine/1943/06/12/casanova-move-over","A married man is left alone in town when his wife takes her yearly jaunt to Atlantic City. Since his wife had urged him to seek feminine companionship while she was away he decided to look up an old friend of his. He and Chloe (the girl) spent a long and expensive evening, stopping first for drinks, then dinner, and afterwards at a night club. He was seen by numerous friends - and he was properly punished by his wife upon her return.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"John Strachey","http://www.newyorker.com/contributors/john-strachey","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"S. J. Perelman","http://www.newyorker.com/contributors/s-j-perelman","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"W. E. Farbstein","http://www.newyorker.com/contributors/w-e-farbstein","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Radio","http://www.newyorker.com/magazine/1943/05/22/radio","Husband makes a remark about a radio program he is listening to. His wife who has been reading asked him what was on the program. He got sore, she had the radio on all day long but she never listened to it... She said if her radio habits were to be questioned she'd prefer to have it done by Crossley, though she couldn't understand how they took their poll. She had never heard of anybody they had ever asked. The husband tried to explain how it was done, but she knew he didn't know it himself and she told him so. One thing led to another, a friend's name was brought up and he accused her of running around with the man. It all ended by him slapping her face.","",""
"","","Ship In Convoy","http://www.newyorker.com/magazine/1943/06/19/ship-in-convoy","Convoy bound for North Africa describes air attacks.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Now We Know","http://www.newyorker.com/magazine/1943/06/05/now-we-know","Busdriver teases a young girl, an early morning passenger. One morning he went a little too far and she got angry. He apologized and she left him with a smile. For the next few days there were no more trick, but warm smiles passed between them. In a few weeks they knew all they had to know about each other to fall in love, and after the period of unconscious caution it became a case of who would make the first move. He did. She knew that he was married. He now told her that he hated his wife. He was too much in love with her to keep his route and had asked to be transferred.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","The Corsican Express","http://www.newyorker.com/magazine/1943/06/19/the-corsican-express","Description of a journey on the Corsican express and a visit to the home of the only direct descendant of Christopher Columbus.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"S. J. Perelman","http://www.newyorker.com/contributors/s-j-perelman","","","","",""
"John Cooper","http://www.newyorker.com/contributors/john-cooper","","","","",""
"William Maxwell","http://www.newyorker.com/contributors/william-maxwell","","","","",""
"","","The American Sense of Humor","http://www.newyorker.com/magazine/1943/05/22/the-american-sense-of-humor","A very young British soldier got on a crowded Madison Ave. bus in a pouring rain. He asked an American soldier and his wife to tell him when they got to 68th St. They promised to look out for him. Something that had happened that afternoon struck them very funny and they began to laugh. They couldn't let him in on the joke, and when they reached 68th St. they told him it was his stop. He must have heard them laughing as the doors closed. Suddenly the soldier remembered that it was a west side address the kid wanted, but it was too late to do anything about it. They realized the boy must have thought it a very poor joke.","",""
"Sally Benson","http://www.newyorker.com/contributors/sally-benson","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"Robert M. Coates","http://www.newyorker.com/contributors/robert-m-coates","","","","",""
"","","To Forty-fourth Street","http://www.newyorker.com/magazine/1943/05/29/to-forty-fourth-street","A young girl flagged a bus at 6th Ave. and 10th St. & asked the driver if he could get her to 44 St. in ten minutes. The driver said he couldn't take the bus. A passenger made the remark to the driver that it was a hot one; and they made conjectures as to what could be her hurry - meeting a boy friend undoubtedly. Then they discussed the possibility of making the trip in ten minutes The driver said that he could do it by passing a few stops and driving through a few lights at the risk of his job, of course. As they passed 44th St. the driver slower down and both men stared out the window carefully. They expected to see the girl there standing talking to somebody, possibly a soldier. . .","",""
"Sally Benson","http://www.newyorker.com/contributors/sally-benson","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"Louise Field Cooper","http://www.newyorker.com/contributors/louise-field-cooper","","","","",""
